encuesta,periodo,year,codigo,fuente,monto_miles_pesos,total_fuentes_clasificadas,participacion
Industria manufacturera,EDIT X 2019-2020,2019,recursos_propios,Recursos propios,1763387380.0,2200896387.0,0.8012132649295861
Industria manufacturera,EDIT X 2019-2020,2019,banca_privada,Banca privada,314819323.0,2200896387.0,0.14304141024517936
Industria manufacturera,EDIT X 2019-2020,2019,recursos_grupo,Empresas del grupo,113109871.0,2200896387.0,0.05139263786705467
Industria manufacturera,EDIT X 2019-2020,2019,recursos_publicos,Recursos públicos,8389454.0,2200896387.0,0.003811835054823051
Industria manufacturera,EDIT X 2019-2020,2019,otras_empresas,Otras empresas,1001046.0,2200896387.0,0.00045483558695123615
Industria manufacturera,EDIT X 2019-2020,2019,capital_privado,Capital privado,142407.0,2200896387.0,6.470409095182907e-05
Industria manufacturera,EDIT X 2019-2020,2019,cooperacion_donaciones,Cooperación y donaciones,46906.0,2200896387.0,2.1312225453710102e-05
Servicios y comercio,EDITS VIII 2020-2021,2021,recursos_propios,Recursos propios,3376767586.0,4396144187.0,0.768120298689375
Servicios y comercio,EDITS VIII 2020-2021,2021,recursos_publicos,Recursos públicos,542656796.0,4396144187.0,0.12343926243472869
Servicios y comercio,EDITS VIII 2020-2021,2021,banca_privada,Banca privada,392027747.0,4396144187.0,0.08917536148138173
Servicios y comercio,EDITS VIII 2020-2021,2021,cooperacion_donaciones,Cooperación y donaciones,34727809.0,4396144187.0,0.007899606455742485
Servicios y comercio,EDITS VIII 2020-2021,2021,otras_empresas,Otras empresas,33215990.999999996,4396144187.0,0.007555710092090297
Servicios y comercio,EDITS VIII 2020-2021,2021,recursos_grupo,Empresas del grupo,12232251.0,4396144187.0,0.002782495404989773
Servicios y comercio,EDITS VIII 2020-2021,2021,capital_privado,Capital privado,4516007.0,4396144187.0,0.0010272654416919379
